date	European Union	Poland
date	EU	Poland
1960	18,73802978	22,6
1961	18,62701025	20,9
1962	18,34265277	19,8
1963	18,40255383	19,2
1964	18,46764715	18,1
1965	17,90736642	17,4
1966	17,62241169	16,8
1967	17,87803194	16,3
1968	17,52063169	16,3
1969	17,02399982	16,4
1970	16,39452416	16,8
1971	16,2161126	17,2
1972	15,6989493	17,5
1973	15,30272664	18
1974	15,49412797	18,5
1975	15,12030368	19
1976	14,98658717	19,6
1977	14,65212677	19,2
1978	14,38310699	19,1
1979	14,15702906	19,6
1980	13,96750116	19,6
1981	13,593487	19
1982	13,42881977	19,5
1983	13,11784634	19,8
1984	12,98927567	19
1985	12,82470384	18,3
1986	12,70037486	17
1987	12,56526078	16,1
1988	12,56715941	15,6
1989	12,2975541	14,9
1990	12,16424253	14,4
1991	11,78817907	14,3
1992	11,49606618	13,4
1993	11,19933334	12,9
1994	10,8233854	12,5
1995	10,51561552	11,2
1996	10,51556405	11,1
1997	10,49187959	10,7
1998	10,35395336	10,2
1999	10,32156393	9,9
2000	10,46162119	9,9
2001	10,21975336	9,6
2002	10,14237923	9,3
2003	10,1576182	9,2
2004	10,26174902	9,3
2005	10,22986066	9,5
2006	10,34279636	9,8
2007	10,39211451	10,2
2008	10,63776151	10,9
2009	10,47770494	10,9
2010	10,44658406	10,9
2011	10,14624848	10,2
2012	10,03157658	10,1
2013	9,7485718	9,7
2014	9,858278028	9,9
2015	9,741875138	9,7
2016	9,839702288	10,1
2017	9,716723552	10,6
2018	9,507390242	10,2
2019	9,290774398	9,9
2020		
